Action;Time;ISIN;Ticker;Name;ID;No. of shares;Price / share;Currency (Price / share);Total;Withholding tax;Currency (Withholding tax);Stamp duty reserve tax;Currency (Stamp duty reserve tax);Currency conversion fee;Currency (Currency conversion fee);French transaction tax;Currency (French transaction tax)
Dividend (Property income distribution);08/10/2024 08:13;GB00B4WFW713;LMP;LondonMetric Property;;100.000.000.000;2.28;GBX;0.27;5.70;GBX;;;;;;
Market buy;2024-03-18 08:05:09.851;NL0012969182;ADYEN;Adyen;EOF11750680071;0.0085440100;1463.00;EUR;12.50;;;;;;;;
Market buy;2024-03-18 13:35:43.584;US5949181045;MSFT;Microsoft;EOF11801850762;0.0325646000;417.29;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-18 13:35:43.612;US67066G1040;NVDA;Nvidia;EOF11801850770;0.0148593000;914.50;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-18 13:35:44.215;US86800U3023;SMCI;Super Micro Computer;EOF11801850803;0.0118741500;1144.41;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-18 13:38:37.746;US5949181045;MSFT;Microsoft;EOF11801866012;0.0650715000;417.70;USD;25.00;;;;;0.04;EUR;;
Market buy;2024-03-18 13:38:37.762;US67066G1040;NVDA;Nvidia;EOF11801866015;0.0295156000;920.88;USD;25.00;;;;;0.04;EUR;;
Market buy;2024-03-18 13:38:38.274;US86800U3023;SMCI;Super Micro Computer;EOF11801866020;0.0238424500;1140.00;USD;25.00;;;;;0.04;EUR;;
Market buy;2024-03-18 13:38:39.538;NL0012969182;ADYEN;Adyen;EOF11801866033;0.0171702600;1456.00;EUR;25.00;;;;;;;;
Market buy;2024-03-19 08:05:17.651;IE00B3XXRP09;VUSA;Vanguard S&P 500 (Dist);EOF11802899465;0.2779780000;76.78;GBP;25.01;;;;;0.04;EUR;;
Market buy;2024-03-19 08:05:17.744;IE00BYVQ9F29;NQSE;iShares NASDAQ 100 EUR Hedged (Acc);EOF11802899471;0.4606500000;10.85;EUR;5.00;;;;;;;;
Market buy;2024-03-19 08:05:18.306;NL0012969182;ADYEN;Adyen;EOF11802899505;0.0086564400;1444.00;EUR;12.50;;;;;;;;
Market buy;2024-03-19 08:05:18.499;IE00BK5BCD43;AIAI;L&G Artificial Intelligence (Acc);EOF11802899525;0.5663370000;19.13;USD;9.99;;;;;0.01;EUR;;
Market buy;2024-03-19 08:05:18.538;IE00BFMXYP42;VUKG;Vanguard FTSE 100 (Acc);EOF11802899532;0.4467890000;38.22;GBP;20.01;;;;;0.03;EUR;;
Market buy;2024-03-19 08:05:19.496;IE00B3WJKG14;IITU;iShares S&P 500 Information Technology Sector (Acc);EOF11802899591;0.5904380900;2168.00;GBX;15.00;;;;;0.02;EUR;;
Market buy;2024-03-19 08:05:19.807;IE00B1XNHC34;INRG;iShares Global Clean Energy (Dist);EOF11802899611;0.6986326000;610.75;GBX;5.00;;;;;0.01;EUR;;
Market buy;2024-03-19 08:05:31.76;IE00BGL86Z12;ECAR;iShares Electric Vehicles & Driving Technology (Acc);EOF11804300658;14.034.800.000;7.72;USD;9.99;;;;;0.01;EUR;;
Market buy;2024-03-19 08:05:33.798;IE00B8GKDB10;VHYL;Vanguard FTSE All-World High Dividend Yield (Dist);EOF11804300785;0.1674440000;50.97;GBP;9.99;;;;;0.01;EUR;;
Market buy;2024-03-19 13:35:16.832;US5949181045;MSFT;Microsoft;EOF11804344851;0.0325469000;416.30;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-19 13:35:16.922;US67066G1040;NVDA;Nvidia;EOF11804344867;0.0155273000;872.60;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-19 13:35:17.276;US86800U3023;SMCI;Super Micro Computer;EOF11804344952;0.0146574000;924.39;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-20 08:05:19.726;NL0012969182;ADYEN;Adyen;EOF11851870557;0.0086865100;1439.00;EUR;12.50;;;;;;;;
Dividend (Dividend);04/10/2024 11:45;CA1363851017;CNQ;Canadian Natural Resources;;0.8481620000;0.33;USD;0.25;0.05;USD;;;;;;
Market buy;2024-03-20 13:36:10.829;US67066G1040;NVDA;Nvidia;EOF11900269277;0.0151319000;894.08;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-20 13:36:10.862;US5949181045;MSFT;Microsoft;EOF11900269280;0.0320954000;421.53;USD;12.50;;;;;0.02;EUR;;
